City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,aldinga beach,-35.2793,138.4604,22.09,51,0,6.05,AU,1701047569
84,keflavik,64.0049,-22.5624,5.24,100,100,6.69,IS,1701047569
85,kolonia town,6.964,158.206,31.06,74,75,7.2,FM,1701047570
86,talnakh,69.4865,88.3972,-23.96,98,46,2.73,RU,1701047570
87,chandbali,20.7833,86.7667,18.94,70,3,1.64,IN,1701047570
88,aykhal,66.0,111.5,-21.46,99,95,3.88,RU,1701047571
89,mount isa,-20.7333,139.5,30.87,48,100,4.12,AU,1701047571
90,qaqortoq,60.7167,-46.0333,-8.09,91,99,3.02,GL,1701047571
91,markovo,57.3206,107.0881,-17.62,94,100,1.93,RU,1701047572
92,beichengqu,40.4394,113.1536,-3.02,57,1,8.67,CN,1701047572
93,coronel suarez,-37.4547,-61.9334,21.79,41,10,5.47,AR,1701047572
94,hasaki,35.7333,140.8333,14.05,67,0,3.3,JP,1701047572
95,kutum,14.2,24.6667,21.74,26,89,2.85,SD,1701047573
96,phang nga,8.4509,98.5298,24.02,93,100,1.9,TH,1701047573
97,jeddah,21.5169,39.2192,27.92,74,0,0.0,SA,1701047402
98,garissa,-0.4536,39.6401,25.34,84,96,3.05,KE,1701047573
99,novyy urengoy,66.0833,76.6333,-14.6,97,90,3.42,RU,1701047574
100,egersund,58.4513,5.9997,3.38,79,100,11.52,NO,1701047574
101,kiama,-34.6833,150.8667,22.47,75,44,4.24,AU,1701047574
102,saint-philippe,-21.3585,55.7679,22.77,75,1,2.77,RE,1701047574
103,vila velha,-20.3297,-40.2925,21.64,97,100,1.96,BR,1701047419
104,thompson,55.7435,-97.8558,-17.91,78,100,3.09,CA,1701047575
105,nova vicosa,-17.8919,-39.3719,24.37,76,31,4.77,BR,1701047390
106,manokwari,-0.8667,134.0833,27.39,80,100,3.66,ID,1701047575
107,invercargill,-46.4,168.35,13.9,77,99,1.34,NZ,1701047576
108,ouesso,1.6136,16.0517,21.61,96,96,0.39,CG,1701047576
109,lazaro cardenas,17.9583,-102.2,26.75,71,100,2.67,MX,1701047576
110,longyearbyen,78.2186,15.6401,1.91,69,75,7.2,SJ,1701047577
111,bungo-takada-shi,33.5567,131.4451,15.58,69,18,1.3,JP,1701047577
112,nagqu,31.5,92.0,-11.03,51,100,1.52,CN,1701047577
113,freeport,40.6576,-73.5832,11.67,83,100,9.77,US,1701047577
114,sinabang,2.4803,96.3801,26.42,80,62,1.37,ID,1701047577
115,trevelin,-43.0858,-71.4639,12.13,85,100,1.6,AR,1701047578
116,fortuna,40.5982,-124.1573,11.1,69,0,0.0,US,1701047578
117,margaret river,-33.95,115.0667,21.0,72,100,3.76,AU,1701047579
118,gelemso,8.8167,40.5167,13.98,59,44,1.89,ET,1701047579
119,horsham,51.064,-0.3272,11.12,87,40,3.6,GB,1701047355
120,changyon,38.2508,125.0961,7.85,81,100,3.64,KP,1701047580
121,dhromolaxia,34.8755,33.5868,15.58,65,0,2.06,CY,1701047580
122,iskateley,67.6803,53.1512,-20.98,100,64,2.77,RU,1701047580
123,nemuro,43.3236,145.575,3.1,52,91,3.87,JP,1701047581
124,swift current,50.2834,-107.8014,-2.55,100,100,7.2,CA,1701047581
125,hawaiian paradise park,19.5933,-154.9731,25.73,84,100,2.57,US,1701047401
126,quellon,-43.1167,-73.6167,10.03,73,100,1.8,CL,1701047582
127,taulaga,-11.0553,-171.0883,29.26,78,89,8.37,AS,1701047582
128,airway heights,47.6446,-117.5933,-1.23,73,100,1.54,US,1701047582
129,hermanus,-34.4187,19.2345,16.69,81,28,0.09,ZA,1701047582
130,uvira,-3.4067,29.1458,22.46,90,100,1.68,CD,1701047583
131,holualoa,19.6228,-155.9522,25.91,80,75,5.66,US,1701047583
132,chonchi,-42.6128,-73.8092,10.62,85,100,0.65,CL,1701047584
133,alofi,-19.0595,-169.9187,25.9,86,16,7.04,NU,1701047584
134,smithers,54.7804,-127.1743,1.01,97,100,0.57,CA,1701047401
135,asubulaq,49.5583,83.0558,-5.1,80,42,2.24,KZ,1701047585
136,felixstowe,51.9637,1.3511,8.33,87,100,0.45,GB,1701047585
137,la serena,-29.9078,-71.2542,15.62,86,25,1.24,CL,1701047376
138,tawau,4.2498,117.8871,26.86,78,55,1.53,MY,1701047409
139,tiquipaya,-17.3382,-66.2189,18.87,48,76,1.34,BO,1701047586
140,avarua,-21.2078,-159.775,27.03,65,75,9.77,CK,1701047360
141,christchurch,-43.5333,172.6333,20.85,61,100,7.2,NZ,1701047569
142,franceville,-1.6333,13.5836,22.24,96,100,0.62,GA,1701047587
143,kuta,-8.7233,115.1723,27.97,78,40,1.54,ID,1701047587
144,khash,28.2211,61.2158,10.71,63,0,1.58,IR,1701047588
